text,author,reply,retweet,like,date,cleaned_text,label,non_baku
"Ganjar Mahfud membawa keceriaan di setiap langkahnya 
Real Count PDIP KPPS #Pemilu2024 Quick Count Kalah Sirekap RIP Demokrasi",Rahul hafisansyari,0,0,0,2024-02-15T20:59:52.000Z,Ganjar Mahfud membawa keceriaan di setiap langkahnya  ,neutral,
"Dalam perjuangan bersama Ganjar Mahfud kita semua merasa bersaudara 
Real Count PDIP KPPS #Pemilu2024 Quick Count Kalah Sirekap RIP Demokrasi",Novi Novita,0,0,0,2024-02-15T20:26:59.000Z,Dalam perjuangan bersama Ganjar Mahfud kita semua merasa bersaudara  ,negative,
Sebanyak 392 Warga Binaan Lapas Abepura Ikut Mencoblos Pemilu 2024 hTetaps://pojokindo.com/2024/02/15/sebanyak-392-warga-binaan-lapas-abepura-ikut-mencoblos-pemilu-2024/,POJOK INDONEWS,0,0,0,2024-02-15T23:20:37.000Z,Sebanyak 392 Warga Binaan Lapas Abepura Ikut Mencoblos Pemilu 2024,neutral,
"Titip 1 Surabaya
#AniesMuhaimin2024
#PrabowoGibran2024
#GanjarMahfud
#Pemilu2024 
#realcount
#kecuranganPemilu2024",1%,0,0,0,2024-02-15T23:58:06.000Z,Titip 1 Surabaya,neutral,
IPO Prediksi Pilpres akan terjadi 2 putaran. #Pemilu2024 #JoinTheFlipSide RIP DEMOKRASI Real Count Indonesia PDIP JumatBerkah NA JAEMIN THANK YOU,Pro Indonesia,0,0,1,2024-02-16T00:46:42.000Z,IPO Prediksi Pilpres akan terjadi 2 putaran.     RIP DEMOKRASI Real Count Indonesia PDIP JumatBerkah NA JAEMIN THANK YOU,neutral,
"Jajaran personel polres minut melaksanakan pengamanan TPS pemilu 2024 Rabu, (14/2/2024).

#PolriPresisi #KasihPresisi #Polisiindonesia #CintaKebhinekaan #AyoJagaPersatuandanKesatuanBangsa #PiluDamai2024",Polres Minahasa Utara,0,0,0,2024-02-16T00:23:10.000Z,"Jajaran personel polres minut melaksanakan pengamanan TPS pemilu 2024 Rabu, (14/2/2024).",neutral,
Ayo dukung dengan hasil pemilu 2024 berjalan kondusif #Pemilu2024kondusif,Pejuangcinta,0,0,0,2024-02-15T23:46:27.000Z,Ayo dukung dengan hasil pemilu 2024 berjalan kondusif,positive,
"Silahkan tafsirkan. Kemudian sadarilah bahwa tafsiran itu merupakan cerminan kualitas dirimu dalam memahami.
#Pemilu2024",Balakosa Indonesia,0,0,0,2024-02-16T00:18:12.000Z,Silahkan tafsirkan. Kemudian sadarilah bahwa tafsiran itu merupakan cerminan kualitas dirimu dalam memahami.,neutral,
"dilihat dari hasil #QuickCount versi lembaga survei manapun, tetap perolehan suara rinduku kepadamu yang menempati posisi teratas. 

#Pemilu2024",aempit,0,0,0,2024-02-15T20:43:45.000Z,"dilihat dari hasil   versi lembaga survei manapun, tetap perolehan suara rinduku kepadamu yang menempati posisi teratas.",neutral,
"Setiap upaya bersama Ganjar Mahfud bernilai luar biasa 
Real Count PDIP KPPS #Pemilu2024 Quick Count Kalah Sirekap RIP Demokrasi",Ferra Amalia,0,0,0,2024-02-15T20:59:53.000Z,Setiap upaya bersama Ganjar Mahfud bernilai luar biasa  ,neutral,
"Kebersamaan dengan Ganjar Mahfud membawa energi positif dalam perjuangan 
Real Count PDIP KPPS #Pemilu2024 Quick Count Kalah Sirekap RIP Demokrasi",Wulan Laura,0,1,0,2024-02-15T20:38:57.000Z,Kebersamaan dengan Ganjar Mahfud membawa energi positif dalam perjuangan  ,neutral,
"Ganjar Mahfud membawa optimisme dan kebahagiaan di setiap kesempatan 
Real Count PDIP KPPS #Pemilu2024 Quick Count Kalah Sirekap RIP Demokrasi",Alea Veynina,0,0,0,2024-02-15T21:10:13.000Z,Ganjar Mahfud membawa optimisme dan kebahagiaan di setiap kesempatan  ,neutral,
"Tanggapan Presiden Jokowi Soal Dugaan Kecurangan Pemilu 2024

Source: YouTube/Sekretariat Presiden
Date: 15 Februari 2024

#jokowi #kecuranganpresiden #bawaslu",Olenka,0,0,0,2024-02-16T00:33:42.000Z,Tanggapan Presiden Jokowi Soal Dugaan Kecurangan Pemilu 2024  Source: YouTube/Sekretariat Presiden Date: 15 Februari 2024,neutral,
"Diskon Besar tas ransel #Pemilu2024
#Pemilu
#Jakarta
#surabaya
#Bandung

hTetaps://instagram.com/stories/ownerdiscount/3302780538037343655?utm_source=ig_story_item_share&igsh=cnFjbmU2MnptY2p5",alltrades,0,0,0,2024-02-15T22:49:03.000Z,Diskon Besar tas ransel,positive,
"Kehadiran Ganjar Mahfud membuat politik menjadi lebih berwarna dan ceria 
Real Count PDIP KPPS #Pemilu2024 Quick Count Kalah Sirekap RIP Demokrasi",Niko Rahardian,0,0,0,2024-02-15T21:10:30.000Z,Kehadiran Ganjar Mahfud membuat politik menjadi lebih berwarna dan ceria  ,neutral,
"dari pemilu 2024 ak belajar, beda pilihan bisa jadi musuhan dan dimaki2 temen sendiri, ngeri",Bang Long,0,0,0,2024-02-16T00:52:39.000Z,"dari pemilu 2024 ak belajar, beda pilihan bisa jadi musuhan dan dimaki2 temen sendiri, ngeri",negative,
"Kodim 1015/Sampit Bersama Polres Kotim Laksanakan Patroli Pasca Pemilu 2024
hTetaps://instagram.com/p/C3XueuvpEXh/?img_index=4",Korem102/Panju Panjung,0,0,0,2024-02-16T00:56:27.000Z,Kodim 1015/Sampit Bersama Polres Kotim Laksanakan Patroli Pasca Pemilu 2024,neutral,
"hTetaps://heylink.me/bebasbet88/ link gacor game nya pun gacorrr juga kak

#Pemilu2024
#DemokrasiSukses",Natalia,0,0,0,2024-02-15T22:46:10.000Z,link gacor game nya pun gacorrr juga kak,positive,
"Dari awal #Pemilu2024 sdh di prediksi dengan kecurangan yang begitu masif dari KPU, BANWASLU, dan ASN, aparatur lainnya",syahfatullah,0,0,0,2024-02-15T23:03:04.000Z,"Dari awal   sdh di prediksi dengan kecurangan yang begitu masif dari KPU, BAWASLU, dan ASN, aparatur lainnya",negative,"BANWASLU,"
"Kecurangan Pilpres 2024 sangat Terstruktur, Masif dan Sistematis. #Pemilu2024 #JoinTheFlipSide RIP DEMOKRASI Real Count Indonesia PDIP JumatBerkah NA JAEMIN THANK YOU",aduuua22,0,0,0,2024-02-16T00:48:58.000Z,"Kecurangan Pilpres 2024 sangat Terstruktur, Masif dan Sistematis.     RIP DEMOKRASI Real Count Indonesia PDIP",neutral,
"Pengumuman:
SUDAH DIBUKA NIH BEBERAPA TEMPAT TREATMENT KARENA GAGAL DALAM PEMILU 2024",#PolitikUang2024,0,0,0,2024-02-15T23:17:05.000Z,Pengumuman: SUDAH DIBUKA NIH BEBERAPA TEMPAT TREATMENT KARENA GAGAL DALAM PEMILU 2024,neutral,
OSO Ancam Perang Habis-habisan Buntut Kecurangan Pemilu 2024: Ada Banyak UU Dilanggar! -,Share berita Ponorogo Jatim,0,0,0,2024-02-15T20:51:40.000Z,OSO Ancam Perang Habis-habisan Buntut Kecurangan Pemilu 2024: Ada Banyak UU Dilanggar! -,negative,
"ini judulnya jadi, ""team IT pemilu 2024 memecah belah kesatuan dan persatuan Indonesia"" ya sekarang kalau gini.",Lian,0,0,0,2024-02-16T00:44:11.000Z,"ini judulnya jadi, ""team IT pemilu 2024 memecah belah kesatuan dan persatuan Indonesia"" ya sekarang kalau gini.",negative,
"Hasil Tukin, kata Bawaslu RI pemilu 2024 berhasil",Moza,0,0,0,2024-02-15T21:28:07.000Z,"Hasil Tukin, kata Bawaslu RI pemilu 2024 berhasil",neutral,
"Ganjar Mahfud memupuk kebersamaan yang menyenangkan 
Real Count PDIP KPPS #Pemilu2024 Quick Count Kalah Sirekap RIP Demokrasi",Anggun audikarina,0,0,0,2024-02-15T20:56:45.000Z,Ganjar Mahfud memupuk kebersamaan yang menyenangkan  ,neutral,
"Kalah menang biasa, yang penting berjuang terus 
RIP Demokrasi | Senayan | Jokowi | Sirekap | #Pemilu2024 | PDIP",Qodri Rahmat,0,0,0,2024-02-15T20:32:57.000Z,"Kalah menang biasa, yang penting berjuang terus ",neutral,
"Titip 1 Surabaya
#AniesMuhaimin2024
#PrabowoGibran2024
#GanjarMahfud
#Pemilu2024 
#realcount
#kecuranganPemilu2024
#kpu",1%,0,0,0,2024-02-16T00:29:09.000Z,Titip 1 Surabaya,neutral,
"semua heboh gara2 OCR, harusnya ada disclaimer aplikasi masih proses pengembangan #pemilu2024",Ichbot__,0,0,0,2024-02-15T23:49:14.000Z,"semua heboh gara2 OCR, harusnya ada disclaimer aplikasi masih proses pengembangan",neutral,
#Pemilu2024 #PemiluCurang mohon di cek #KPUBiangCurangBrutal #KPU #KPUBawaslu #kpucurangrakyatmelawan,cahyaning rino,0,0,1,2024-02-15T23:41:33.000Z,mohon di cek,neutral,
"pemilu 2024 literally showing people's true colors, saya kira sebelumnya cerdas, eh ternyata orangnya gampang kegocek hoax tiktok wkwk ",fika (^◕.◕^),0,0,0,2024-02-15T23:25:38.000Z,"pemilu 2024 literally showing people's true colors, saya kira sebelumnya cerdas, eh ternyata orangnya gampang kegocek hoax tiktok wkwk",negative,
"Paslon 03 tetap pilihan hati kita semua kok 
RIP Demokrasi | Senayan | Jokowi | Sirekap | #Pemilu2024 | PDIP",Nanang Ganang,0,0,0,2024-02-15T20:33:25.000Z,Paslon 03 tetap pilihan hati kita semua kok ,positive,
Pemilu 2024 Ini bahan skripsi utk mahasiswa fisip banyak banget.,Satrya Wibawa,1,0,1,2024-02-15T23:46:47.000Z,Pemilu 2024 Ini bahan skripsi utk mahasiswa fisip banyak banget.,positive,
"Sangat kelihatan nyata di Pemilu 2024 
Orang munafik bersatu.
Pendukung bodoh bersatu.",i know what you did last sunday,0,0,1,2024-02-15T20:27:29.000Z,Sangat kelihatan nyata di Pemilu 2024  Orang munafik bersatu. Pendukung bodoh bersatu.,negative,
"Mantan ketua KPK menjelaskan kecurangan pemilu 2024
hTetaps://s.snackvideo.com/p/dn2puE10
Saksikan video ini
hTetaps://s.snackvideo.com/p/3dYKqsOO
hTetaps://s.snackvideo.com/p/ZAxndTp9
hTetaps://s.snackvideo.com/p/75fQrddQ
hTetaps://s.snackvideo.com/p/ZCQPqjdb",Rosidin didin Rosidin,0,0,0,2024-02-16T00:47:50.000Z,Mantan ketua KPK menjelaskan kecurangan pemilu 2024  Saksikan video ini,neutral,
"F**K Quick Count  Fokus Real Count , kawal Terus !!! #PemiluCurang #pemilu2024",RAJA AJA,1,0,0,2024-02-15T22:44:53.000Z,"FUCK Quick Count  Fokus Real Count , kawal Terus !!!",neutral,
Mari bersama-sama menjaga integritas dan kredibilitas Pemilu 2024 dengan menolak segala bentuk provokasi dan politisasi agama,Daniya Rahna,0,0,0,2024-02-15T23:08:02.000Z,Mari bersama-sama menjaga integritas dan kredibilitas Pemilu 2024 dengan menolak segala bentuk provokasi dan politisasi agama,neutral,
"Sukses selalu untuk Ganjar Mahfud semangatnya mencerahkan hati kita semua 
Real Count PDIP KPPS #Pemilu2024 Quick Count Kalah Sirekap RIP Demokrasi",Yoga Pratama,0,0,0,2024-02-15T20:32:50.000Z,Sukses selalu untuk Ganjar Mahfud semangatnya mencerahkan hati kita semua  ,positive,
"Tisu 40ribuan dapet 10pcs ? Yakali gak di checkout  

hTetaps://shope.ee/603N1bukanKC

#pemilu2024 #pemilu #Valentine2024 #shopee #TRENDING #viral #tisu #selfish #JungKook #CHAEUNWOO",Sulistyayoona,0,0,0,2024-02-16T00:21:34.000Z,Tisu 40ribuan dapet 10pcs ? Yakali gak di checkout,neutral,
"Siapa bilang kalah? Masih ada KPU bro 
RIP Demokrasi | Senayan | Jokowi | Sirekap | #Pemilu2024 | PDIP",Zara Hanara,0,0,0,2024-02-15T20:33:19.000Z,Siapa bilang kalah? Masih ada KPU bro ,negative,
Real count di temukan lagi ini suara prabowo jadi 447 . #KPU #BAWASLU GIMANA INI #PEMILU2024 #realcount,nyenye,0,0,2,2024-02-15T23:38:21.000Z,Real count di temukan lagi ini suara prabowo jadi 447 .     GIMANA INI,neutral,
"KALO CURANG EMANG RAKYAT BISA APA ? 

INDONESIA #kpps #PDIP #Pemilu2024 #PemiluCurang KOMENG #RIPdemokrasi RIP DEMOKRASI",SAMI MUHAMMAD HILABI,0,0,0,2024-02-15T23:52:27.000Z,KALO CURANG EMANG RAKYAT BISA APA ?   INDONESIA         KOMENG   RIP DEMOKRASI,negative,
"Gimana mau pemilu damai , kalau penyelenggaraanya tidak jujur dan tidak adil.

#Pemilu2024",Kusmeyrini Indah,0,0,1,2024-02-15T20:42:30.000Z,"Gimana mau pemilu damai , kalau penyelenggaraanya tidak jujur dan tidak adil.",negative,
"Kawal Ketat Logistik Pemilu 2024
#perkuatpersatuandankesatuan
#ciptakanpemiluamandandamai
#MemperkuatPersatuanDanKesatuanDalamRangkaMenciptakanPemiluAmanTentramdanDamai
#polresagam
#divisihumaspolri 
#humaspoldasumbar
#spripimpolri
#spripimpoldasumbar 
#kpuagam 
#bawasluagam",Polres Agam,0,0,1,2024-02-16T00:34:39.000Z,Kawal Ketat Logistik Pemilu 2024,neutral,
"Tidak masalah siapapun presidennya, mau manusia atau demit sekalipun. Yang penting pemilu JUJUR!

Ayo kawal #Pemilu2024 dari #PemiluCurang",trotoar streetbar,0,0,1,2024-02-15T23:06:02.000Z,"Tidak masalah siapapun presidennya, mau manusia atau demit sekalipun. Yang penting pemilu JUJUR!  Ayo kawal   dari",negative,
Hbs kpps terbitlah ultracap #Pemilu2024,Kanguru,2,0,0,2024-02-16T00:13:57.000Z,habis kpps terbitlah ultracap,neutral,
"Jokowi Blak-blakan Jujur Singgung Kecurangan Pemilu 2024, Pengakuan Hasto Justru Bikin Geleng-geleng Kepala",tvOnenews,0,4,5,2024-02-15T22:00:35.000Z,"Jokowi Blak-blakan Jujur Singgung Kecurangan Pemilu 2024, Pengakuan Hasto Justru Bikin Geleng-geleng Kepala",negative,
Refly Harun bicara tentang kecurangan yang terbongkar dalam sistem Sirekap KPU. #pemilu2024,Hendri Lucky,0,0,0,2024-02-15T23:19:55.000Z,Refly Harun bicara tentang kecurangan yang terbongkar dalam sistem Sirekap KPU.,neutral,
"Sukses selalu untuk Ganjar Mahfud semoga terus menjadi pelopor perubahan 
Real Count PDIP KPPS #Pemilu2024 Quick Count Kalah Sirekap RIP Demokrasi",Monika Agnesia,0,0,0,2024-02-15T20:31:21.000Z,Sukses selalu untuk Ganjar Mahfud semoga terus menjadi pelopor perubahan  ,positive,
"Ketua KPU Sebut Ada 2.325 TPS Salah Catat Hasil Penghitungan Suara Pemilu 2024

#KPU #TPS

hTetaps://news.batampos.co.id/ketua-kpu-sebut-ada-2-325-tps-salah-catat-hasil-penghitungan-suara-pemilu-2024/",Batampos,0,0,0,2024-02-15T23:30:37.000Z,Ketua KPU Sebut Ada 2.325 TPS Salah Catat Hasil Penghitungan Suara Pemilu 2024,neutral,
"Viral Sirekap Bermasalah KPU Koreksi Formulir C
#digoid #digotic #pemilu2024",Digo ID,0,0,0,2024-02-15T23:49:55.000Z,Viral Sirekap Bermasalah KPU Koreksi Formulir C,neutral,
"Bersama Ganjar Mahfud kita semua menjadi lebih bersemangat 
Real Count PDIP KPPS #Pemilu2024 Quick Count Kalah Sirekap RIP Demokrasi",Cintiya Aleana,0,0,0,2024-02-15T21:06:43.000Z,Bersama Ganjar Mahfud kita semua menjadi lebih bersemangat  ,neutral,
"Pertanyaan pertama saya soal pemilu 2024, 
@psi_id
 dan 
@partaigeloraid
 percaya hasil quick count ga? Mohon dijawab min.",REZIM TAMAK PASTI JATUH,0,2,7,2024-02-16T00:18:50.000Z,"Pertanyaan pertama saya soal pemilu 2024,     dan     percaya hasil quick count ga? Mohon dijawab min.",neutral,
"Semoga Allah SWT berikan kesehatan dan kekuatan utk pendukung AMIN dalam memperjuangkan kemenangan di pemilu 2024Aamiin Allahumma Aamiin 
#AMINAjaDulu",Nurdasrudin Nurdasrudin,0,0,3,2024-02-16T00:12:00.000Z,Semoga Allah SWT berikan kesehatan dan kekuatan utk pendukung AMIN dalam memperjuangkan kemenangan di pemilu 2024Aamiin Allahumma Aamiin,positive,dalam
"Berbagai kendala dan Hambatan tidak menyurutkan semangat dan dedikasi Polri dan TNI untuk mengamankan dan mensukseskan pelaksanaan Pemilu 2024.

#humaspoldajatim #divisihumaspolri #pemilu2024 #polri #bondowosoviral #pemkabbondowoso 
@kapoldajatim
 
@kapolri
 
@polripresisi",Polres Bondowoso,0,0,1,2024-02-16T00:15:19.000Z,Berbagai kendala dan Hambatan tidak menyurutkan semangat dan dedikasi Polri dan TNI untuk mengamankan dan mensukseskan pelaksanaan Pemilu 2024.,neutral,
KPU Masih Data Jumlah Anggota KPPS Wafat di Pemilu 2024,CNN Indonesia,1,4,7,2024-02-15T23:31:55.000Z,KPU Masih Data Jumlah Anggota KPPS Wafat di Pemilu 2024,neutral,
"Bawaslu: Pemenang Pilpres 2024 Ditentukan Hitung Manual, Bukan Sirekap

hTetaps://news.muslimkreatif.com/2024/02/bawaslu-pemenang-pilpres-2024.html

#Pilpres2024 #Pemilu2024",Portal Berita News,0,0,0,2024-02-15T23:03:20.000Z,"Bawaslu: Pemenang Pilpres 2024 Ditentukan Hitung Manual, Bukan Sirekap",neutral,
Kubu AMIN Klaim Temukan Benang Merah Pelanggaran Pemilu 2024 Jelang Pencoblosan,OposisiCerdas.com,2,83,211,2024-02-15T23:18:22.000Z,Kubu AMIN Klaim Temukan Benang Merah Pelanggaran Pemilu 2024 Jelang Pencoblosan,neutral,
Dirty Vote itu kayak kunci jawaban untuk pemilu 2024. dan akurat 100%,yoga,0,0,0,2024-02-15T23:16:28.000Z,Dirty Vote itu kayak kunci jawaban untuk pemilu 2024. dan akurat 100%,neutral,
"Rakyat bersyukur punya Ganjar Mahfud semangatnya menyatukan kita semua 
Real Count PDIP KPPS #Pemilu2024 Quick Count Kalah Sirekap RIP Demokrasi",Hanum Lestari,0,0,0,2024-02-15T20:35:42.000Z,Rakyat bersyukur punya Ganjar Mahfud semangatnya menyatukan kita semua  ,positive,
"Aplikasi cacat, cacat biasanya 2 faktor disengaja atau bug. Biasanya kecacatan dimanfaat yang pemilik aplikasi",Observer 2024,0,0,0,2024-02-16T00:44:36.000Z,"Aplikasi cacat, cacat biasanya 2 faktor disengaja atau bug. Biasanya kecacatan dimanfaat yang pemilik aplikasi",negative,
"Terima kasih Ganjar Mahfud telah memberikan arah yang jelas 
Real Count PDIP KPPS #Pemilu2024 Quick Count Kalah Sirekap RIP Demokrasi",Tomi Putra,0,0,0,2024-02-15T20:35:34.000Z,Terima kasih Ganjar Mahfud telah memberikan arah yang jelas  ,neutral,
"Suasana bahagia menyertai langkah Ganjar Mahfud 
Real Count PDIP KPPS #Pemilu2024 Quick Count Kalah Sirekap RIP Demokrasi",Tsani Abdullah,0,0,0,2024-02-15T21:03:45.000Z,Suasana bahagia menyertai langkah Ganjar Mahfud  ,neutral,
"Tolak pemilu 2024
#percumaadaPEMILU",Gendis Jawi,0,0,0,2024-02-16T00:47:38.000Z,Tolak pemilu 2024,negative,
"Kebersamaan dengan Ganjar Mahfud penuh dengan kehangatan 
Real Count PDIP KPPS #Pemilu2024 Quick Count Kalah Sirekap RIP Demokrasi",Coky Coper,0,0,0,2024-02-15T21:04:54.000Z,Kebersamaan dengan Ganjar Mahfud penuh dengan kehangatan  ,neutral,
"Pemilu 2024 Berjalan Damai, IHSG Bakal Melaju ke 7.373 Hari Ini",Bisnis.com,0,0,0,2024-02-16T00:38:05.000Z,"Pemilu 2024 Berjalan Damai, IHSG Bakal Melaju ke 7.373 Hari Ini",neutral,
"Ganjar Mahfud mewujudkan impian akan Indonesia yang makmur dan berkeadilan 
Real Count PDIP KPPS #Pemilu2024 Quick Count Kalah Sirekap RIP Demokrasi",Willy Tristan,0,0,0,2024-02-15T20:29:19.000Z,Ganjar Mahfud mewujudkan impian akan Indonesia yang makmur dan berkeadilan  ,neutral,
"Hadirkan Jaringan dan Layanan Broadband Terdepan, Telkomsel Siap Sukseskan Pemilu 2024",PancarPOS,0,0,0,2024-02-15T22:34:01.000Z,"Hadirkan Jaringan dan Layanan Broadband Terdepan, Telkomsel Siap Sukseskan Pemilu 2024",neutral,
"Komisi Pemilihan Umum (KPU) JakartaTimur membantah adanya kecurangan dalam penghitungan suara di TPS 054 Pulogebang, Kecamatan Cakung. (ld)
#KPU #Pemilu2024  
hTetaps://jakarta.tribunnews.com/2024/02/15/kpu-jakarta-timur-bantah-ada-kecurangan-di-tps-054-pulogebang-ungkap-soal-kendala-sistem.",Tribunnews.com,0,0,3,2024-02-15T23:06:28.000Z,"Komisi Pemilihan Umum (KPU) Jakarta Timur membantah adanya kecurangan dalam penghitungan suara di TPS 054 Pulogebang, Kecamatan Cakung. (ld)",neutral,JakartaTimur
Begini nih aplikasi hanya dibuat gundal gandul,Observer 2024,0,0,1,2024-02-16T00:35:19.000Z,Begini nih aplikasi hanya dibuat gundal gandul,neutral,
"Setiap langkah Ganjar Mahfud diikuti oleh senyuman rakyat 
Real Count PDIP KPPS #Pemilu2024 Quick Count Kalah Sirekap RIP Demokrasi",Firmansyah Leo,0,0,0,2024-02-15T21:03:25.000Z,Setiap langkah Ganjar Mahfud diikuti oleh senyuman rakyat  ,neutral,
"kumpulan tweet toxic para pendukung anies dan ganjar yang tidak terima prabowo menang dan paslon pilihannya kalah #Pemilu2024 

a thread",no name,1,0,3,2024-02-16T00:16:31.000Z,kumpulan tweet toxic para pendukung anies dan ganjar yang tidak terima prabowo menang dan paslon pilihannya kalah     a thread,negative,
kita lihat apakah nanti akan terjadi putaran ke dua untuk #pemilu2024 ini?,eternal,0,0,0,2024-02-15T23:47:27.000Z,kita lihat apakah nanti akan terjadi putaran ke dua untuk   ini?,neutral,
"Di bawah kepemimpinan Ganjar Mahfud rakyat bahagia menjadi prioritas 
Real Count PDIP KPPS #Pemilu2024 Quick Count Kalah Sirekap RIP Demokrasi",Herman Saputra,0,0,0,2024-02-15T21:19:03.000Z,Di bawah kepemimpinan Ganjar Mahfud rakyat bahagia menjadi prioritas  ,neutral,
Bawaslu Gelar Apel Siaga Pengawasan Pemilu 2024 hTetaps://beritamimika.com/index.php/bm-politik/4560-bawaslu-gelar-apel-siaga-pengawasan-pemilu-2024,beritamimika,0,0,0,2024-02-15T23:39:20.000Z,Bawaslu Gelar Apel Siaga Pengawasan Pemilu 2024,neutral,
"2.325 TPS Alami Salah Konversi Formulir C Hasil Pemilu 2024

#Pemilu2024 #PemiluSerentak2024 

hTetaps://langkatoday.com/nasional/2-325-tps-alami-salah-konversi-formulir-c-hasil-pemilu-2024/",Langkat Today,0,0,0,2024-02-16T00:03:17.000Z,2.325 TPS Alami Salah Konversi Formulir C Hasil Pemilu 2024,neutral,
terimakasih pak telah hadir dan mendukung jalannya pemilu 2024,anduel,0,0,0,2024-02-16T00:25:46.000Z,terimakasih pak telah hadir dan mendukung jalannya pemilu 2024,positive,
Pemilu 2024 paling bersejarah di Indonesia yang memecahkan record paling bejat,Budi Istiyono,0,1,7,2024-02-15T23:29:12.000Z,Pemilu 2024 paling bersejarah di Indonesia yang memecahkan record paling bejat,positive,
"hTetaps://vt.tiktok.com/ZSFj68Gmt/ Prof, pernyataan Prof dulu masih relevan dengan Pemilu 2024?",David Rizar Nugroho,0,0,0,2024-02-16T01:02:57.000Z,"Prof, pernyataan Prof dulu masih relevan dengan Pemilu 2024?",neutral,
"Ganjar Mahfud inspirasi bagi semua kalangan untuk berjuang 
Real Count PDIP KPPS #Pemilu2024 Quick Count Kalah Sirekap RIP Demokrasi",Adhara Amani,0,0,0,2024-02-15T20:29:29.000Z,Ganjar Mahfud inspirasi bagi semua kalangan untuk berjuang  ,neutral,
"13 KPPS meninggal dunia saat bertugas di Pemilu 2024, Kemenkes: Diduga karena sakit.

#TribunKaltim #KPPS #Pemilu2024
 
hTetaps://kaltim.tribunnews.com/2024/02/16/13-kpps-meninggal-dunia-saat-bertugas-saat-pemilu-2024-kemenkes-diduga-karena-sakit lewat 
@tribunnews",Tribun Kaltim,1,0,0,2024-02-15T22:40:11.000Z,"13 KPPS meninggal dunia saat bertugas di Pemilu 2024, Kemenkes: Diduga karena sakit.",neutral,
Jadwal Pengumuman Real Count KPU Pemilu 2024,Dr Priyambudi,0,0,0,2024-02-16T00:26:59.000Z,Jadwal Pengumuman Real Count KPU Pemilu 2024,neutral,
"Update: 16 February 2024
Anies Prabowo Ganjar
Bawaslu #Pemilu2024  
@gibran_tweet
 real count",Kaesang,1,1,4,2024-02-15T20:59:04.000Z,Update: 16 February 2024 Anies Prabowo Ganjar Bawaslu        real count,neutral,
"Pengalaman sebagai disabilitas pengguna kursi roda berpartisipasi dalam Pemilu 2024. Berbeda dari sebelumnya, sekarang makin ramah disabilitas",Kompasiana,0,0,0,2024-02-16T00:49:03.000Z,"Pengalaman sebagai disabilitas pengguna kursi roda berpartisipasi dalam Pemilu 2024. Berbeda dari sebelumnya, sekarang makin ramah disabilitas",positive,
"Kata Rocky Gerung.01 dan 03 tinggal ke MK tolak PEMILU 2024percuma kita cari2 kecurangan DPTkah, penggelembungan kah.percuma!! 
#percumaadaPEMILU",Gendis Jawi,0,0,0,2024-02-16T00:46:34.000Z,"Kata Rocky Gerung.01 dan 03 tinggal ke MK tolak PEMILU 2024percuma kita cari-cari kecurangan DPTkah, penggelembungan kah.percuma!!",negative,
"Ganjar Mahfud sosok pemimpin yang menginspirasi dan merakyat 
Real Count PDIP KPPS #Pemilu2024 Quick Count Kalah Sirekap RIP Demokrasi",ratno tri,0,0,0,2024-02-15T20:29:29.000Z,Ganjar Mahfud sosok pemimpin yang menginspirasi dan merakyat  ,neutral,
"Kehadiran Ganjar Mahfud menghadirkan nuansa positif dalam arena politik 
Real Count PDIP KPPS #Pemilu2024 Quick Count Kalah Sirekap RIP Demokrasi",Ratu Putriani,0,0,0,2024-02-15T21:07:43.000Z,Kehadiran Ganjar Mahfud menghadirkan nuansa positif dalam arena politik  ,neutral,
"Sukseskan Pemilu 2024, PT Freeport Indonesia Dukung Karyawan di Area Kerja Gunakan Hak Pilihnya",PORTAL PAPUA,0,0,0,2024-02-16T00:27:53.000Z,"Sukseskan Pemilu 2024, PT Freeport Indonesia Dukung Karyawan di Area Kerja Gunakan Hak Pilihnya",neutral,
Banyak pelanggaran n penggiringan oponi 1 putaran. Kita tunggu hasil real count #pemilu #mahfud #ganjar #pemilu2024 #GanjarMahfud2024,Satu Suara,0,0,0,2024-02-16T00:12:57.000Z,Banyak pelanggaran n penggiringan opini 1 putaran. Kita tunggu hasil real count,neutral,oponi
"Dico Ganinduto Pimpin Apel Pergeseran Pasukan Pengamanan TPS Pemilu 2024 di Kendal
#airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia",#GolkarSolid,0,0,0,2024-02-16T00:30:00.000Z,Dico Ganinduto Pimpin Apel Pergeseran Pasukan Pengamanan TPS Pemilu 2024 di Kendal,neutral,
"Daripada ribut bahas kecurangan pemilu mending nonton MOTM Pemilu 2024 di FYP 
@TRANS7
 
Uhuyyyy .",pil,0,0,1,2024-02-16T00:26:27.000Z,Daripada ribut bahas kecurangan pemilu mending nonton MOTM Pemilu 2024 di FYP,negative,
"Harapan itu masih ada hingga Real Count.

Yakin ke 2 Putaran AMIN  

#Pemilu2024",JARNAS BORNEO KALTIM,0,27,78,2024-02-15T23:42:55.000Z,Harapan itu masih ada hingga Real Count.  Yakin ke 2 Putaran AMIN,positive,
"Hasil Pemilu 2024: Allah Sayang Cak Nun hTetaps://caknun.com/2024/hasil-pemilu-2024-allah-sayang-cak-nun/ lewat 
@caknundotcom",Who cares,0,0,0,2024-02-16T01:03:43.000Z,Hasil Pemilu 2024: Allah Sayang Cak Nun  lewat,neutral,
